link,imgs,title,description,latitude,longitude,address,animal_type,status
https://pet911.ru/moskva/lost/cat/rl925449,"['https://cdn.pet911.ru/1731064093672df11d529031.39392685_img_4390.webp', 'https://cdn.pet911.ru/1731064093672df11dc31460.03673502_img_3989.webp', 'https://cdn.pet911.ru/1731064091672df11b80cb97.68711406_img_4211.webp', 'https://cdn.pet911.ru/1731064091672df11b985df5.24072615_img_4205.webp']","Пропала кошка, Пенягинская ул. 16, Москва","Очень добрая кошка, домашняя, в один момент пропала из поля зрения и так и не объявилась , могла выбежать в дверь или вылезти из окна, за находку полагается награда, очень ждём свою кошечку дома.",55.83544695,37.36016179987142,"Пенягинская улица, 16, Москва",Кошка,Пропала
https://pet911.ru/moskva/lost/cat/rl924961,"['https://cdn.pet911.ru/1730919945672bbe09284177.40888060_1000061087.webp', 'https://cdn.pet911.ru/1730919943672bbe07eea600.14049978_1000061093.webp', 'https://cdn.pet911.ru/1730919949672bbe0dc9add0.53721183_1000033106.webp', 'https://cdn.pet911.ru/1730919946672bbe0a40eed4.80363815_1000061088.webp', 'https://cdn.pet911.ru/1730919953672bbe11291ea0.55865793_1000030950.webp']","Пропала кошка, Флотская ул., 56, Москва",Пропала кошка! Просьба нашедшего позвонить по телефону или написать на ватсап 8-903-251-00-38 Наталия,55.85395855,37.50587018283164,"Флотская улица, 56, Москва",Кошка,Пропала
https://pet911.ru/moskva/lost/cat/rl923397,"['https://cdn.pet911.ru/173056356967264df14c87a3.63108523_img_6343.webp', 'https://cdn.pet911.ru/173056356267264dea572eb5.09455436_img_3573.webp']","Пропала кошка, Бойцовая ул., 14 к1","Добрые люди,потерялась кошка Люся,серого окраса,свяжитесь со мной,если находили +79857767763",55.81189535,37.72023156805759,"Бойцовая улица, 14 к1, Москва",Кошка,Пропала
https://pet911.ru/moskva/lost/cat/rl924517,"['https://cdn.pet911.ru/17308011536729ee01a1b073.46843879_screenshot_20241105_130528_gallery.webp', 'https://cdn.pet911.ru/17308011536729ee019de501.74981403_screenshot_20241105_130521_gallery.webp', 'https://cdn.pet911.ru/17308011566729ee04e7c0d9.39411476_20241103_170045.webp']","Пропал котик, КП Цветочный, Москва","Пропал котик, 2 года, пушистый, красивый, ласковый, окраса как тигрёнок, из кп Цветочный, Краснопахорский район. Ушел утром в среду 30го октября! Если кто нашел, очень просим вернуть! Котик кастрирован. Кличка Бэтмен!",55.4302586,37.2715202,"Краснопахорский район, Москва",Кошка,Пропала
https://pet911.ru/moskva/lost/cat/rl921130,"['https://cdn.pet911.ru/1730105483671f508ba2e487.58209449_photo_5258305083442061491_y.webp', 'https://cdn.pet911.ru/1730105486671f508e135197.72562374_photo_5258305083442061490_y.webp', 'https://cdn.pet911.ru/1730105477671f5085e242c5.40180951_photo_5258305083442061489_y.webp', 'https://cdn.pet911.ru/1730105481671f5089751658.41080005_photo_5258305083442061492_y.webp', 'https://cdn.pet911.ru/1730105484671f508c9a9216.66552569_photo_5258305083442061493_y.webp']","Пропала кошка, Балаклавский проспект","Возраст примерно 3,5 года. Кот не кастрирован. Окрас: белый, черный, коричневый, серый. С людьми осторожен, может остерегаться. Пугливый. Пушистый друг убежал вглубь Битцевского леса, поэтому мог выбежать с любой из сторон леса и прибиться к какому-нибудь дому (хоть в Ясенево, хоть на Южной и тд.). Ищу не только по месту пропажи, но и вокруг всего Битцевского леса и в самом лесу тоже. Люди добрые помогите найти члена семьи... Нашедшему гарантированно Вознаграждение.",55.6414784,37.60471145,"Балаклавский проспект, Москва",Кошка,Пропала
https://pet911.ru/moskovskaya-oblast/lost/cat/rl923668,['https://cdn.pet911.ru/1730630837672754b56f2bb0.07017971_img_3140.webp'],"Пропала кошка, 3 года, МО, с чипом","Мальчик,с чипом,3лет",55.5043158,38.0353929,Московская область,Кошка,Пропала
https://pet911.ru/moskovskaya-oblast/lost/dog/rl907697,"['https://cdn.pet911.ru/172790553766fdbf0164ca22.55529674_580332c3921d4937a7e7f77eac8da87b.webp', 'https://cdn.pet911.ru/172790554166fdbf0598ebf8.05866709_img_2372.webp', 'https://cdn.pet911.ru/172760860466f9371c3b2985.80028898_img_2149.webp']","Пропала собака, Фряновское шоссе, МО","Метис с овчаркой, зовут осман ему 1.5 года. Последний раз видели в Щёлково 7 возле адреса Неделина 18 . Просьба есть ли кто то увидит малыша придержите пожалуйста🥺🥺 онине агрессивный. Вознаграждение!!!! На задней лапке шрам . Важна любая информация о нём.",55.9206499,37.9915576,"Щёлково, Московская область",Собака,Пропала
https://pet911.ru/moskva/found/cat/rf925772,"['https://cdn.pet911.ru/1731147488672f36e0eb1c43.91416149_screenshot_20241109_131537_com.webp', 'https://cdn.pet911.ru/1731147487672f36df3978b7.83998134_screenshot_20241109_131530_com.webp', 'https://cdn.pet911.ru/1731147488672f36e039e967.41997001_screenshot_20241109_131524_com.webp']","Кот найден: 3-я Рыбинская ул, 1, Москва",Подбросили кота,55.7911585,37.660426,"3-я Рыбинская улица, 1, Москва",Кошка,Найдена
https://pet911.ru/moskva/found/dog/rf925765,['https://cdn.pet911.ru/1731146605672f336d028484.92438701_image.webp'],"Собака в метро Печатники, ул. Полбина, 2","Девочка, с красным ошейником, зашла в метро Печатники.",55.676081,37.72739118270115,"улица Полбина, 2, Москва",Собака,Найдена
https://pet911.ru/moskovskaya-oblast/found/cat/rf925754,"['https://cdn.pet911.ru/1731145021672f2d3d84b995.63419192_img20241109122659.webp', 'https://cdn.pet911.ru/1731144935672f2ce70300c4.39060548_img_20241109_123429.webp', 'https://cdn.pet911.ru/1731144938672f2cea0ca311.45553184_img_20241109_123441.webp']","Кошка найдена: Малые Вязёмы, МО","Серый кот, мальчик, не кастрирован, регулярно приходит ко мне покушать и посидеть на окне. Ласковый, возможно домашний. Хотелось бы знать есть ли у него дом и хозяин. Беспокоюсь как он будет зимой. Я не против его подкармливать, но к себе взять не могу, уже есть два хвоста.",55.6286417,37.027815,"Малые Вязёмы, Московская область",Кошка,Найдена
